Subt.;Ítem;Asig.; ;
22; ; ;BIENES Y SERVICIOS DE CONSUMO;"Comprende los gastos por adquisiciones de bienes de consumo y servicios no personales, necesarios para el cumplimiento de las funciones y actividades de los organismos del sector público.
Asimismo, incluye los gastos derivados del pago de determinados impuestos, tasas, derechos y otros gravámenes de naturaleza similar, que en cada caso se indican en los ítems respectivos."
22;1; ;Alimentos y Bebidas;"Son los gastos que por estos conceptos se realizan para la alimentación de funcionarios,  22 01    alumnos,  reclusos  y  demás  personas,  con  derecho  a  estos  beneficios  de  acuerdo  con  las leyes y los reglamentos vigentes, a excepción de las raciones otorgadas en dinero, las que se imputarán al respectivo ítem de Gastos en Personal. Incluye, además, los gastos que por concepto de alimentación de animales, corresponda realizar."
22;1;1;Para Personas;"Son los gastos por concepto de adquisiciones de alimentos destinados al consumo de seres humanos."
22;1;2;Para Animales;"Son los gastos por concepto de adquisiciones de alimentos para animales."
22;2; ;Textiles, Vestuario y Calzado;"Son los gastos por concepto de adquisiciones y/o confecciones de textiles, acabados textiles, vestuarios y sus accesorios, prendas diversas de vestir y calzado."
22;2;1;Textiles y Acabados Textiles;"Son los gastos por concepto de adquisiciones y/o confecciones de hilados y telas de cualquier naturaleza. Incluye, además, los gastos por concepto de teñidos de telas y similares."
22;2;2;Vestuario, Accesorios y Prendas Diversas;
22;2;3;Calzado;
22;3; ;Combustibles y Lubricantes;
22;3;1;Para Vehículos;
22;3;2;Para Maquinarias, Equipos de Producción, Tracción y Elevación;
22;3;3;Para Calefacción;
22;3;999;Para Otros;
22;4; ;Materiales de Uso o Consumo;
22;4;1;Materiales de Oficina;
22;4;2;Textos y Otros Materiales de Enseñanza;
22;4;3;Productos Químicos;
22;4;4;Productos Farmacéuticos;
22;4;5;Materiales y Útiles Quirúrgicos;
22;4;6;Fertilizantes, Insecticidas, Fungicidas y Otros;
22;4;7;Materiales y Útiles de Aseo;
22;4;8;Menaje para Oficina, Casino y Otros;
22;4;9;Insumos, Repuestos y Accesorios Computacionales;
22;4;10;Materiales para Mantenimiento y Reparaciones de Inmuebles;
22;4;11;Repuestos y Accesorios para Mantenimiento y Reparaciones de Vehículos;
22;4;12;Otros Materiales, Repuestos y Útiles Diversos;
22;4;13;Equipos Menores;
22;4;14;Productos Elaborados de Cuero, Caucho y Plásticos;
22;4;15;Productos Agropecuarios y Forestales;
22;4;16;Materias Primas y Semielaboradas;
22;4;999;Otros;
22;5; ;Servicios Básicos;
22;5;1;Electricidad;
22;5;2;Agua;
22;5;3;Gas;
22;5;4;Correo;
22;5;5;Telefonía Fija;
22;5;6;Telefonía Celular;
