Partida;Capítulo;Programa;Subtítulo;Item;Asignación;Denominación;Monto Pesos;Monto Dólar
11;23;01;05;;;TRANSFERENCIAS CORRIENTES;58143;0
11;23;01;05;02;;Del Gobierno Central;58143;0
11;23;01;05;02;005;Ejército de Chile;19185;0
11;23;01;05;02;010;Fuerza Aérea de Chile;38958;0
11;23;01;08;;;OTROS INGRESOS CORRIENTES;8818;0
11;23;01;08;01;;Recuperaciones y Reembolsos por Licencias Médicas;8728;0
11;23;01;08;99;;Otros;90;0
11;23;01;09;;;APORTE FISCAL;14569315;0
11;23;01;09;01;;Libre;14569315;0
11;23;01;21;;;GASTOS EN PERSONAL;8750227;0
11;23;01;22;;;BIENES Y SERVICIOS DE CONSUMO;2397432;0
11;23;01;24;;;TRANSFERENCIAS CORRIENTES;3030280;0
11;23;01;24;01;;Al Sector Privado;296298;0
11;23;01;24;01;004;Premios y Otros;2865;0
11;23;01;24;01;005;Bienestar Social;293433;0
11;23;01;24;02;;Al Gobierno Central;2437429;0
11;23;01;24;02;003;Ejército de Chile;448999;0
11;23;01;24;02;048;Programa Antártico - Ejército de Chile;662810;0
11;23;01;24;02;049;Programa Antártico - Armada de Chile;662810;0
11;23;01;24;02;050;Programa Antártico - Fuerza Aérea de Chile;662810;0
11;23;01;24;03;;A Otras Entidades Públicas;296553;0
11;23;01;24;03;037;Defensa Civil;296552;0
11;23;01;24;03;038;Corte Marcial;1;0
11;23;01;29;;;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;449901;0
11;23;01;29;04;;Mobiliario y Otros;60443;0
11;23;01;29;05;;Máquinas y Equipos;22454;0
11;23;01;29;06;;Equipos Informáticos;79889;0
11;23;01;29;07;;Programas Informáticos;287115;0
11;23;01;35;;;SALDO FINAL DE CAJA;8436;0
